,Query,Product Type,Material Type,Uniclass Products,Uniclass Systems,Uniclass Materials,Packaging Type,Item Count,Item Unit,Unit Quantity,Unit to Primary Conversion,Primary Unit Type,Product Name,Product Company Name,Product URL,Product Manufacturing Emissions Intensity Magnitude,Product Manufacturing Emissions Intensity Unit,Product Manufacturing Emissions in kg CO₂/kg,Product Match Score,Material Name,Material Data Source,Material Manufacturing Emissions Intensity Magnitude,Material Manufacturing Emissions Intensity Unit,Material ID,Material Match Score
5,"Supply and installation of a deformable mat (20 mm) adjacent to all vertical projections and elements connected to the flooring. Waste material, estimated at approximately 5%, is included, with the percentage subject to verification and confirmation or modification by the supplier at the offer stage",Entrance matting,Polypropylene,,,,,1,,1,1,m2,7700 grimebuster - entrance matting carpet sheet,Burmatex,https://app.2050-materials.com/product/details_designer/burmatex-7700-grimebuster-entrance-matting-carpet-sheet,4.57,kg CO₂/m2,,0.9224128094863652,Entrance matting,2050 Materials Quantity Surveyor Dataset - 2024,51.5,kg CO₂/m2,24326,0.9660337950225653
6,"Supply and installation of a bidirectional construction joint of the Ideal Joint System® Classic type, 220mm height, consisting of two opposing L-shaped sheets made of 3 mm thick hot-rolled steel, coupled with a threaded PVC connection screw, and complete with bidirectional PVC sleeves, metal bars, and reinforcement corrugated bars. Waste material, estimated at approximately 5%, is included, with the percentage subject to verification and confirmation or modification by the supplier at the offer stage",Other (Multiple),PVC,Polyvinyl chloride geomembranes (Pr_25_57_51_70),,,,1,,,,,Dosing application in a water treatment plant,GF Piping Systems,https://app.2050-materials.com/product/details_designer/gf-piping-systems-dosing-application-in-a-water-treatment-plant,229,kg CO₂/piece,,0.9328351140005176,"PVC homogeneous, 2 mm (per m2)",KBOB (2023) - English,8.17,kg CO₂/m2,1692,0.993847961446531
7,"Execution of shrikage joints, dimensions of 2.8 mm and a depth of 4.5 cm as supervised by the Works Management. Supply and installation of neoprene membrane as filling for the joints",Waterproofing membranes,Polystyrene,,Waterproofing and tanking systems (Ss_32_80),,,1,,,,,Membrane Hygro+,Isover Saint-Gobain,https://app.2050-materials.com/product/details_designer/isover-saint-gobain-membrane-hygro,0.661,kg CO₂/m2,0.3958643531591381,0.9453870758840605,"Waterproofing membranes, PUR (Polyurethane) (per m2)",2050 Materials Research (September 2023),11.1625,kg CO₂/m2,795,0.9529218381611203
8,Vapour barrier - including 5% scraps increase,Vapour membranes,Polyethylene,Plastics membranes (Pr_25_57_65),Damp-proofing systems (Ss_32_20),,,1,,,,,DuPont™ AirGuard® Air & Vapour Control Layers (5816X),DuPont de Nemours (Luxembourg) s.à r.l.,https://app.2050-materials.com/product/details_designer/dupont-de-nemours-luxembourg-s-a-r-l-duponttm-airguard-r-air-vapour-control-layers-5816x,1.16463605883385,kg CO₂/m2,6.850800346081471,0.9947239693602339,Polyethylene film (PE) (per kg),KBOB (2023) - English,2.75,kg CO₂/kg,1686,0.9951871808009989
9,Rigid insulating panel in PIR - including 5% scraps increase,Insulation (Thermal),PIR (Polyisocyanurate),Polyisocyanurate (PIR) foam insulation (Pr_25_31_28_65),"Wall insulation systems (Ss_25_45_72),Wall covering and finish systems (Ss_25_45)",,,1,,,,,PIR Insulation board - 100mm Thin-R,Unilin,https://app.2050-materials.com/product/details_designer/unilin-pir-insulation-board-100mm-thin-r,10.599165809293002,kg CO₂/m2,12.37998527563237,0.9957193055681427,"Insulation (Thermal), PIR (Polyisocyanurate) (per kg)",2050 Materials Research (September 2023),5.07569,kg CO₂/kg,739,0.9976417183896749
0,Rigid insulating panel in PIR - including 5% scraps increase,Insulation (Thermal),PIR (Polyisocyanurate),Polyisocyanurate (PIR) foam insulation (Pr_25_31_28_65),"Wall insulation systems (Ss_25_45_72),Wall covering and finish systems (Ss_25_45)",,,,,,,,PIR Insulation board - 100mm Thin-R,Unilin,https://app.2050-materials.com/product/details_designer/unilin-pir-insulation-board-100mm-thin-r,10.599165809293002,kg CO₂/m2,12.37998527563237,0.9957193055681427,"Insulation (Thermal), PIR (Polyisocyanurate) (per kg)",2050 Materials Research (September 2023),5.07569,kg CO₂/kg,739,0.9976417183896749
1,"Fire retardant elastomeric rolls, th. 6 mm - including 5% scraps increase",Insulation (Thermal),Rubber (Other),Resilient layer insulation (Pr_25_57_06_71),"Wall insulation systems (Ss_25_45_72),Wall covering and finish systems (Ss_25_45)",,,,,,,,ISOPIPE TC Flexible Elastomeric Foam Insulation,ISOPIPE S.A.,https://app.2050-materials.com/product/details_designer/isopipe-s-a-isopipe-tc-flexible-elastomeric-foam-insulation,5.8132858133,kg CO₂/m2,,0.9950887319535232,"Insulation (Thermal), Rubber (Other) (per m3)",2050 Materials Research (September 2023),612.6156,kg CO₂/m3,828,0.9961090728568548
2,Waterproof polyolefin membrane (TPO) - including 12% scraps increase,Membranes & foils (Multiple functions),TPO (Thermoplastic Polyolefin),Thermoplastic polyolefin elastomer (TPE) polymeric membranes (Pr_25_57_51_88),"Waterproofing and tanking systems (Ss_32_80),Sheeted waterproofing and tanking systems (Ss_32_80_79)",,,,,,,,TPO/FPO roofing and waterproofing membrane,Deutsche Bauchemie eV,https://app.2050-materials.com/product/details_designer/deutsche-bauchemie-ev-tpo-fpo-dach-und-dichtungsbahn,1.61,kg CO₂/m2,0.8597397425305718,0.9970164857155265,"Membranes & foils (Multiple functions), TPO (Thermoplastic Polyolefin) (per m2)",2050 Materials Research (September 2023),3.086309,kg CO₂/m2,924,0.9985314729766674
3,Sandwich panels - including 5% scraps increase,Building boards (Multiple functions),Wood wool,,,,,,,,,,A2 panels,SIA VIZULO,https://app.2050-materials.com/product/details_designer/sia-vizulo-a2-panels,9.3,kg CO₂/m2,0.4946808510638298,0.953090371304601,"Building board, Multiple functions (HDF)",2050 Materials Quantity Surveyor Dataset - 2024,6.71,kg CO₂/m3,24486,0.9656735445177332
4,Pedestrian pathsways - including 2% scraps increase,Paving,Concrete,,,,,,,,,,Concrete Paving - Pedesta 60mm,Tobermore Concrete Products Ltd,https://app.2050-materials.com/product/details_designer/tobermore-concrete-products-ltd-concrete-paving-pedesta-60mm,14.255182604307,kg CO₂/m2,0.12132070301537873,0.9389039917212935,Paving (Clay),2050 Materials Quantity Surveyor Dataset - 2024,32.9,kg CO₂/m2,24394,0.937728621353992
5,*varie*,Vapour membranes,"Polyamide (nylon, PA)",,,,,,,,,,VARIO® XTRA,Isover Saint-Gobain,https://app.2050-materials.com/product/details_designer/isover-saint-gobain-vario-r-xtra,0.47,kg CO₂/m2,5.874999999999999,0.3076923191547394,VARTDAL BIOPOR® GRĹ,OKOBAUDAT (English),1.6,kg CO₂/m2,19240,0.13636364042758942
0,Bases for skylights,Rooflights,Glass,,,,,,,,,,Modular honeycomb skylights family,Poliform Lucernari,https://app.2050-materials.com/product/details_designer/poliform-lucernari-modular-honeycomb-skylights-family,66.7,kg CO₂/m2,1482.2222222222224,0.9442948163392496,Rooflights (Multiple),2050 Materials Quantity Surveyor Dataset - 2024,186,kg CO₂/m2,24410,0.9437131447093896
1,Downpipes,Pipework,Polypropylene,,,,,,,,,,Road pipes,Pipelife Sverige AB,https://app.2050-materials.com/product/details_designer/pipelife-sverige-ab-road-pipes,1.202103334442,kg CO₂/kg,1.202103334442,0.9432025579012013,Pipework (Steel),2050 Materials Quantity Surveyor Dataset - 2024,4.2,kg CO₂/m,24253,0.9500352179098455
2,"Supply and installation of roofing metal sheet, type SAND 153/870 th. 0.75mm",Roof tiles,Metal (Other),,"Natural stone slate roofing systems (Ss_30_40_95_60),Unit roofing systems (Ss_30_40_95),Roof and balcony covering and finish systems (Ss_30_40)",,,1,,,,,Metallic Pedestal Type 1/2/3/3,DROMEAS S.A.,https://app.2050-materials.com/product/details_designer/dromeas-s-a-metallic-pedestal-type-1-2-3-3,170.4,kg CO₂/piece,,0.9401019526245323,"Metal Ceiling Tiles (0.5 mm, with acoustic fleece)",OKOBAUDAT (English),15.43,kg CO₂/m2,19769,0.9348981050879803
3,"Supply and installation of roofing metal sheet, type SAND 153/870 th. 0.88mm",Roof tiles,Metal (Other),,"Natural stone slate roofing systems (Ss_30_40_95_60),Unit roofing systems (Ss_30_40_95),Roof and balcony covering and finish systems (Ss_30_40)",,,1,,,,,Metallic Pedestal Type 1/2/3/3,DROMEAS S.A.,https://app.2050-materials.com/product/details_designer/dromeas-s-a-metallic-pedestal-type-1-2-3-3,170.4,kg CO₂/piece,,0.9403376177902597,"Metal Ceiling Tiles (0.5 mm, with acoustic fleece)",OKOBAUDAT (English),15.43,kg CO₂/m2,19769,0.9350955821136357
4,"Supply and installation of roofing metal sheet, type SAND 153/870 th. 1.25mm",Roof tiles,Metal (Other),,"Natural stone slate roofing systems (Ss_30_40_95_60),Unit roofing systems (Ss_30_40_95),Roof and balcony covering and finish systems (Ss_30_40)",,,1,,,,,Metallic Pedestal Type 1/2/3/3,DROMEAS S.A.,https://app.2050-materials.com/product/details_designer/dromeas-s-a-metallic-pedestal-type-1-2-3-3,170.4,kg CO₂/piece,,0.9433506604401197,"Roof tiles, Steel (per m2)",2050 Materials Research (September 2023),20.89,kg CO₂/m2,869,0.9350670910059193
5,"Supply and installation of roofing metal sheet, type SAND 153/870 th. 1.00mm+0.88mm",Roof tiles,Metal (Other),,"Natural stone slate roofing systems (Ss_30_40_95_60),Unit roofing systems (Ss_30_40_95),Roof and balcony covering and finish systems (Ss_30_40)",,,1,,,,,Metallic Pedestal Type 1/2/3/3,DROMEAS S.A.,https://app.2050-materials.com/product/details_designer/dromeas-s-a-metallic-pedestal-type-1-2-3-3,170.4,kg CO₂/piece,,0.9408132423604527,"Metal Ceiling Tiles (0.5 mm, with acoustic fleece)",OKOBAUDAT (English),15.43,kg CO₂/m2,19769,0.9343320013455133
6,"Supply and installation of steps made of electrowelded steel grating S255 JR according to UNI EN 10025, supplied and installed complete with anti-slip visual break angles and perforated side plates for fixing to the stair stringers, these excluded, including support elements such as guides, brackets, bolts, and similar items, and any other burden and craftsmanship necessary to complete the work to a high standard",Stairs,Steel,,Stair and ramp structure systems (Ss_35_10),,,1,,,,,COLD-ROLLED REINFORCING STEEL AND ELECTROWELDED MESH,Gruppo Alfa Acciai,https://app.2050-materials.com/product/details_designer/gruppo-alfa-acciai-cold-rolled-reinforcing-steel-and-electrowelded-mesh,0.8918800816689223,kg CO₂/kg,0.8918800816689223,0.9488114523736834,Stairs (Steel),2050 Materials Quantity Surveyor Dataset - 2024,4.3,kg CO₂/kg,24226,0.9947153357007726
7,Wooden door with aluminium coating,Rendering,Metal (Other),,Render and roughcast coating systems (Ss_25_45_70),,,1,,1,1,piece,Aluminium Framed Single Glazed Doors,Optima Products Limited,https://app.2050-materials.com/product/details_designer/optima-products-limited-aluminium-framed-single-glazed-doors,87.9,kg CO₂/m2,,0.9459828528114459,"Waste disposal - Metal, Metal: aluminium cans and foil (excl. forming) (Composting) - Waste Disposal (per tonnes)",UK Government GHG Conversion Factors for Company Reporting (Waste disposal),,kg CO₂/mt,22525,0.9374203478865232
8,Metal door,External doors,Metal (Other),Doorsets (Pr_30_59_24),Door and window systems (Ss_25_30),,,1,,1,1,piece,Steel door from carbon steel,Daloc AB,https://app.2050-materials.com/product/details_designer/daloc-ab-steel-door-from-carbon-steel,253,kg CO₂/piece,2.5816326530612246,0.99442376802153,"External doors, Metal (Other) (per m3)",2050 Materials Research (September 2023),179620.6,kg CO₂/m3,701,0.9987366349376715
9,FR 30 metal doors,Balcony doors,Metal (Other),,Door and window systems (Ss_25_30),,,1,,1,1,piece,Metallic Pedestal Type 1/2/3/3,DROMEAS S.A.,https://app.2050-materials.com/product/details_designer/dromeas-s-a-metallic-pedestal-type-1-2-3-3,170.4,kg CO₂/piece,,0.9390575771619412,"External doors, Metal (Other) (per m3)",2050 Materials Research (September 2023),179620.6,kg CO₂/m3,701,0.9507490013149255
0,FR 30 metal doors with ventilation grid hole,Balcony doors,Metal (Other),Framing connections (Pr_20_85_30),"Ventilation and air conditioning systems (Ss_65),Door and window systems (Ss_25_30),Wall cladding systems (Ss_25_20),Framed wall systems (Ss_25_10)",,,1,,1,1,piece,Ventilation unit T2R-HW-fan315x2 ref. EPD TOP series,Novema aggregater AS,https://app.2050-materials.com/product/details_designer/novema-aggregater-as-ventilation-unit-t2r-hw-fan315x2-ref-epd-topp-serien,2766.575765539102,kg CO₂/piece,,0.9384072766837301,Brickwork Support Brackets JVAeco+,OKOBAUDAT (English),4.43,kg CO₂/kg,19465,0.9933633755147268
1,FR 60 metal doors,Balcony doors,Metal (Other),,Door and window systems (Ss_25_30),,,1,,1,1,piece,Metallic Pedestal Type 1/2/6,DROMEAS S.A.,https://app.2050-materials.com/product/details_designer/dromeas-s-a-metallic-pedestal-type-1-2-6,167.8,kg CO₂/piece,4.226700251889168,0.9390575771619412,"External doors, Metal (Other) (per m3)",2050 Materials Research (September 2023),179620.6,kg CO₂/m3,701,0.9507490013149255
2,FR 60 metal doors with ventilation grid hole,Balcony doors,Metal (Other),Framing connections (Pr_20_85_30),"Ventilation and air conditioning systems (Ss_65),Door and window systems (Ss_25_30),Wall cladding systems (Ss_25_20),Framed wall systems (Ss_25_10)",,,1,,1,1,piece,Ventilation unit T2R-HW-fan315x2 ref. EPD TOP series,Novema aggregater AS,https://app.2050-materials.com/product/details_designer/novema-aggregater-as-ventilation-unit-t2r-hw-fan315x2-ref-epd-topp-serien,2766.575765539102,kg CO₂/piece,,0.9384072766837301,Brickwork Support Brackets JVAeco+,OKOBAUDAT (English),4.43,kg CO₂/kg,19465,0.9933633755147268
3,FR 90 metal doors,Balcony doors,Metal (Other),,Door and window systems (Ss_25_30),,,1,,1,1,piece,Aluminium Framed Single Glazed Doors,Optima Products Limited,https://app.2050-materials.com/product/details_designer/optima-products-limited-aluminium-framed-single-glazed-doors,87.9,kg CO₂/m2,,0.9386435660635422,"External doors, Metal (Other) (per m3)",2050 Materials Research (September 2023),179620.6,kg CO₂/m3,701,0.9507490013149255
4,FR 30 wooden Door,Internal doors,Wood wool,,Door and window systems (Ss_25_30),,,1,,1,1,piece,Planet Aluminium-Framed Glazed Door,RP Products Ltd,https://app.2050-materials.com/product/details_designer/rp-products-ltd-planet-aluminium-framed-glazed-door,125,kg CO₂/m2,,0.937028922337081,Internal door (Steel) - 30min FR,2050 Materials Quantity Surveyor Dataset - 2024,90.5,kg CO₂/m2,24460,0.955048691462753
5,FR 30 wooden Door with ventilation grid hole,Framing profiles (Cladding/stud frame),Steel,"Steel plate, sheet and strip (Pr_25_71_51_88)","Ventilation and air conditioning systems (Ss_65),Wall cladding systems (Ss_25_20),Framed wall systems (Ss_25_10)",,,1,,1,1,piece,Ventilation unit T2R-HW-fan315x2 ref. EPD TOP series,Novema aggregater AS,https://app.2050-materials.com/product/details_designer/novema-aggregater-as-ventilation-unit-t2r-hw-fan315x2-ref-epd-topp-serien,2766.575765539102,kg CO₂/piece,,0.9949570121079802,"Framing profiles (Cladding/stud frame), Steel (per m)",2050 Materials Research (September 2023),20.245,kg CO₂/m,853,0.9956932709343806
6,FR 60 wooden Door,Internal doors,Wood wool,,Door and window systems (Ss_25_30),,,1,,1,1,piece,Planet Aluminium-Framed Glazed Door,RP Products Ltd,https://app.2050-materials.com/product/details_designer/rp-products-ltd-planet-aluminium-framed-glazed-door,125,kg CO₂/m2,,0.937028922337081,Internal door (Steel) - 60min FR,2050 Materials Quantity Surveyor Dataset - 2024,90.5,kg CO₂/m2,24464,0.955048691462753
7,FR 90 wooden Door,Internal doors,Wood wool,,Door and window systems (Ss_25_30),,,1,,1,1,piece,Planet Aluminium-Framed Glazed Door,RP Products Ltd,https://app.2050-materials.com/product/details_designer/rp-products-ltd-planet-aluminium-framed-glazed-door,125,kg CO₂/m2,,0.937028922337081,"Interior door, room door, wood, wooden frame (per m2)",KBOB (2023) - English,27,kg CO₂/m2,1726,0.9501051974425234
8,Fire dumper doors,Balcony doors,Metal (Other),,Door and window systems (Ss_25_30),,,1,,1,1,piece,Aluminium Framed Single Glazed Doors,Optima Products Limited,https://app.2050-materials.com/product/details_designer/optima-products-limited-aluminium-framed-single-glazed-doors,87.9,kg CO₂/m2,,0.937028922337081,"External doors, Metal (Other) (per m3)",2050 Materials Research (September 2023),179620.6,kg CO₂/m3,701,0.9504069808135024
9,Front Veil,Wall switch and dimmer,"Polyamide (nylon, PA)",,,,,,,,,,Off switch Winsta front,Hager Group,https://app.2050-materials.com/product/details_designer/hager-group-off-switch-winsta-front,1.61,kg CO₂/piece,,0.28237032967081366,Door - Rubner Türen GmbH - Wood front door,OKOBAUDAT (English),62.35,kg CO₂/m2,19949,0.1538461595773697
0,Sandwich panels - 80mm,Building boards (Multiple functions),Wood wool,,,,,1,,,,,A2 panels,SIA VIZULO,https://app.2050-materials.com/product/details_designer/sia-vizulo-a2-panels,9.3,kg CO₂/m2,0.4946808510638298,0.953090371304601,"Building board, Multiple functions (HDF)",2050 Materials Quantity Surveyor Dataset - 2024,6.71,kg CO₂/m3,24486,0.9656735445177332
1,Sandwich panels - 120mm,Building boards (Multiple functions),Wood wool,,,,,1,,,,,A2 panels,SIA VIZULO,https://app.2050-materials.com/product/details_designer/sia-vizulo-a2-panels,9.3,kg CO₂/m2,0.4946808510638298,0.953090371304601,"Building board, Multiple functions (HDF)",2050 Materials Quantity Surveyor Dataset - 2024,6.71,kg CO₂/m3,24486,0.9656735445177332
2,Metal fittings,Metal accessories,Metal (Other),Metal sheets and strips (Pr_25_71_51),"Wall and barrier accessory systems (Ss_25_60),Structure accessory systems (Ss_20_80),Roof, floor and paving accessory systems (Ss_30_60)",,,1,,,,,Metallic Pedestal Type 1/2/3/3,DROMEAS S.A.,https://app.2050-materials.com/product/details_designer/dromeas-s-a-metallic-pedestal-type-1-2-3-3,170.4,kg CO₂/piece,,0.937770785281998,accessoirs for windows - D&M KG - reveal,OKOBAUDAT (English),4.73,kg CO₂/m2,19478,0.9943850442008966
3,Metallic covering casings Warehouse,Powder coatings,Metal (Other),,"Powder-coating systems (Ss_40_90_65),General finishing systems (Ss_40_90)",,,1,,,,,Metallic Pedestal Type 1/2/3/3,DROMEAS S.A.,https://app.2050-materials.com/product/details_designer/dromeas-s-a-metallic-pedestal-type-1-2-3-3,170.4,kg CO₂/piece,,0.9412720541005752,"Powder coatings, Polyester (per m3)",2050 Materials Research (September 2023),6812.444,kg CO₂/m3,759,0.9447504813190952
4,Air Tightness sealans in accordance with Blower Test standard,Sealants,Chemicals,,,,,1,,,,,PVA Drywall Primer & Sealer - B28W08030,Sherwin Williams,https://app.2050-materials.com/product/details_designer/sherwin-williams-pva-drywall-primer-sealer-b28w08030,0.1152,kg CO₂/m2,1.2567268157357032,0.9313319749419753,Sealant (Synthetic resin),2050 Materials Quantity Surveyor Dataset - 2024,1.73,kg CO₂/m2,24416,0.9326482066023082
5,Flashing Doors/Windows - RAL as refered panel,Sealants,Synthetic resin,,,,,1,,,,,Methacrylate resin products (unfilled or low filled),Deutsche Bauchemie e.V.,https://app.2050-materials.com/product/details_designer/deutsche-bauchemie-e-v-methacrylate-resin-products-unfilled-or-low-filled,4.09,kg CO₂/kg,4.09,0.9301474681211237,PE-HD with PP fleece for sealing,OKOBAUDAT (English),3.1,kg CO₂/m2,19384,0.9334027371963013
6,REI sealant for sandwich facade,Sealants,Chemicals,,,,,1,,,,,PVA Drywall Primer & Sealer - B28W08030,Sherwin Williams,https://app.2050-materials.com/product/details_designer/sherwin-williams-pva-drywall-primer-sealer-b28w08030,0.1152,kg CO₂/m2,1.2567268157357032,0.9306779939248663,Sealant (Synthetic resin),2050 Materials Quantity Surveyor Dataset - 2024,1.73,kg CO₂/m2,24416,0.9370045364802655
